M0;M1;M2;M3
4.903342790879126E-6;0.0031911444148850585;6.979703455347084E-16;0.9968039522423233
4.903342790879126E-6;0.0031911444148850585;6.979703455347084E-16;0.9968039522423233
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
4.950543408372438E-6;0.0032151711036446664;7.046906253711742E-16;0.9967798783529462
